ID,CITY,COUN,SUBJ,SEX,AGE,RELI,PRAC,FOCC,MOCC,FIEL,EMOT,WHEN,LONG,INTS,ERGO,TROPHO,TEMPER,EXPRES,MOVE,EXP1,EXP2,EXP10,PARAL,CON,EXPC,PLEA,PLAN,FAIR,CAUS,COPING,MORL,SELF,RELA,VERBAL,NEUTRO,Field1,Field3,Field2,MYKEY,SIT,STATE,
11002,1,1,2,2,23,0,0,7,5,2,5,4,2,1,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,4,0,0,0,0,0,disgust,2,1,110025,"When I saw all the very drunk kids (13-14 years old) in town on 
Walpurgis night.",1,
11002,1,1,2,2,23,0,0,7,5,2,6,1,1,2,3,0,2,2,-1,1,0,0,0,3,3,3,2,1,1,2,0,1,2,0,0,shame,1,2,110026,"When I could not remember what to say about a presentation task 
at an accounts meeting.",1,
11002,1,1,2,2,23,0,0,7,5,2,7,2,2,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,3,0,2,0,0,guilt,2,2,110027,When my uncle and my neighbour came home under police escort.,1,
11003,1,1,3,2,22,8,2,4,6,2,1,1,3,3,0,0,2,1,1,1,0,0,2,1,0,1,1,0,0,5,1,3,3,3,0,joy,3,3,110031,"When I feel at peace with myself and also experience a close 
Contact with people whom I regard greatly.",1,
11003,1,1,3,2,22,8,2,4,6,2,2,1,2,2,1,2,2,1,-1,0,0,0,0,2,2,3,0,0,1,1,0,1,0,0,2,fear,2,2,110032,"Every time I imagine that someone I love or I could contact a 
serious illness, even death.",1,
11003,1,1,3,2,22,8,2,4,6,2,3,3,4,4,4,1,0,2,0,0,1,0,2,2,1,3,3,3,2,1,0,1,1,2,2,anger,4,4,110033,"When I had been obviously unjustly treated and had no possibility 
of elucidating this.",1,
11003,1,1,3,2,22,8,2,4,6,2,4,2,3,3,0,0,0,1,-1,0,0,0,0,2,2,3,0,1,1,5,1,3,0,1,0,sadness,3,3,110034,"When I think about the short time that we live and relate it to 
the periods of my life when I think that I did not use this 
short time.",1,
11003,1,1,3,2,22,8,2,4,6,2,5,2,4,4,3,0,-1,2,-1,0,0,0,2,2,3,3,3,0,0,1,3,3,1,2,0,disgust,4,4,110035,"At a gathering I found myself involuntarily sitting next to two 
people who expressed opinions that I considered very low and 
discriminating.",1,
11003,1,1,3,2,22,8,2,4,6,2,6,1,3,2,2,1,0,2,0,0,1,0,2,2,2,3,3,0,1,5,3,1,1,3,2,shame,3,2,110036,"When I realized that I was directing the feelings of discontent 
with myself at my partner and this way was trying to put the blame 
on him instead of sorting out my own feeliings.",1,
11003,1,1,3,2,22,8,2,4,6,2,7,1,1,2,0,0,0,2,-1,0,0,0,0,2,0,3,0,0,1,5,2,1,1,0,0,guilt,1,2,110037,"I feel guilty when when I realize that I consider material things 
more important than caring for my relatives.  I feel very 
self-centered.",1,
11004,1,1,4,1,23,8,2,6,4,2,1,1,3,3,0,0,1,1,0,1,0,0,0,1,2,1,1,0,2,4,1,3,3,3,0,joy,3,3,110041,"After my girlfriend had taken her exam we went to her parent's 
place.",1,
11004,1,1,4,1,23,8,2,6,4,2,2,4,4,4,0,0,0,0,-1,0,0,0,0,3,3,3,1,1,1,3,0,2,0,0,0,fear,4,4,110042,"When, for the first time I realized the meaning of death.",1,
11004,1,1,4,1,23,8,2,6,4,2,3,2,1,4,2,0,0,1,0,0,0,0,1,1,3,1,2,3,3,4,3,3,1,0,0,anger,1,4,110043,"When a car is overtaking another and I am forced to drive off the 
road.",1,
11004,1,1,4,1,23,8,2,6,4,2,4,1,3,2,0,1,0,0,-1,0,0,0,0,2,2,3,3,0,1,5,0,1,0,0,1,sadness,3,2,110044,"When I recently thought about the hard work it takes to study, and  
how one wants to try something else.  When I read a theoretical 
book in English that I did not understand.",1,
11004,1,1,4,1,23,8,2,6,4,2,5,3,1,2,0,1,0,0,0,0,0,0,0,1,1,3,0,0,3,4,0,2,0,1,1,disgust,1,2,110045,When I found a bristle in the liver paste tube.,1,
11004,1,1,4,1,23,8,2,6,4,2,6,1,1,1,0,0,0,0,-1,0,0,0,0,2,1,3,2,3,1,5,1,2,2,0,0,shame,1,1,110046,"When I was humiliated and unmotivated, I shouted at my girlfriend and 
and brought up negative sides of her character which are actually 
not so important.",1,
11004,1,1,4,1,23,8,2,6,4,2,7,1,2,2,0,0,0,0,-1,0,0,0,0,3,2,3,1,2,1,1,3,1,0,0,0,guilt,2,2,110047,"When I think that I do not study enough.  After the weekend I 
think that I should have been able to have accomplished 
something during that time.",1,
11005,1,1,5,2,22,1,1,7,6,2,1,3,3,3,1,0,0,3,1,1,0,0,1,1,1,1,1,1,1,4,1,3,2,3,0,joy,3,3,110051,"When I pass an examination which I did not think I did well, it is joyful.",1,
11005,1,1,5,2,22,1,1,7,6,2,2,3,1,2,1,0,2,1,0,0,0,0,1,1,2,3,2,2,4,3,0,2,2,0,0,fear,1,2,110052,"When one has arranged to meet someone and that person arrives 
late, in the meantime one starts thinking about all that could 
have gone wrong e.g a traffic accident.",1,
11005,1,1,5,2,22,1,1,7,6,2,3,4,1,3,1,0,2,2,0,0,1,0,0,2,1,3,2,3,2,5,2,2,1,0,1,anger,1,3,110053,When one is unjustly accused of something one has not done.,1,
11005,1,1,5,2,22,1,1,7,6,2,4,1,2,2,0,0,0,1,-1,0,0,0,0,2,2,3,1,0,0,5,1,3,2,1,0,sadness,2,2,110054,When one's studies seem hopelessly difficult and uninteresting.  ,1,
11005,1,1,5,2,22,1,1,7,6,2,5,4,2,2,0,0,-1,0,0,0,0,0,1,2,1,3,2,2,2,3,3,2,2,0,0,disgust,2,2,110055,"When one finds out that someone you know is not at all like one 
had thought, for instance friends who steal and things like that, 
quite unwarranted.",1,
11005,1,1,5,2,22,1,1,7,6,2,6,3,2,2,0,1,0,0,0,0,0,0,0,2,0,3,2,2,1,2,2,2,2,1,1,shame,2,2,110056,"When one has been unjust, stupid towards someone else. ",1,
11005,1,1,5,2,22,1,1,7,6,2,7,3,1,1,0,1,0,0,1,0,0,0,0,2,2,3,2,2,1,5,2,1,1,2,1,guilt,1,1,110057,When one has neglected or been unjust to a good friend.,1,
11006,1,1,6,1,23,1,2,0,0,2,1,4,2,3,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,4,1,3,0,0,0,joy,2,3,110061,Passing an exam I did not expect to pass.,1,
11006,1,1,6,1,23,1,2,0,0,2,2,3,1,2,1,0,0,1,0,1,0,0,0,1,0,2,1,1,4,5,0,3,3,1,0,fear,1,2,110062,"When I climbed up a tree to pick apples.  The angle of the ladder 
I was on did not enable me to get high enough.  This implied 
that the ladder was not very stable.",1,
11007,1,1,7,2,35,0,2,0,8,2,1,4,4,4,0,0,1,2,1,1,0,0,1,2,3,1,0,3,0,4,1,3,3,3,0,joy,4,4,110071,When I had my children.,1,
11007,1,1,7,2,35,0,2,0,8,2,2,1,1,4,3,0,-1,2,0,0,0,0,2,1,1,3,0,0,0,5,0,2,2,0,0,fear,1,4,110072,When my 2 year old son climbed up and sat on the 7th floor balcony with his legs hanging out.  He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down.,1,
11007,1,1,7,2,35,0,2,0,8,2,3,2,4,4,3,0,2,0,0,0,0,1,1,1,1,3,3,3,3,5,3,3,0,3,0,anger,4,4,110073,When my partner was attacked and lost three teeth.,1,
11007,1,1,7,2,35,0,2,0,8,2,4,1,1,2,0,1,0,0,0,0,0,0,0,2,2,3,0,0,0,1,0,2,2,0,1,sadness,1,2,110074,"When I see children on T.V from areas devastated by drought and 
war.",1,
11007,1,1,7,2,35,0,2,0,8,2,5,2,1,3,3,0,-1,1,0,0,0,0,1,1,1,3,0,0,4,4,1,2,2,1,0,disgust,1,3,110075,When I nearly walked on a blindworm and then saw it crawl away.,1,
11007,1,1,7,2,35,0,2,0,8,2,6,4,4,4,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,5,0,0,0,0,0,guilt,4,4,110076,"When I saw my 18 year old son grab an oxygen mask as he had 
breathing difficulties.  I had a bad conscience because I had not 
stopped smoking.  Medication for the dilation of his breathing 
tubes also caused a sense of guilt in me.",1,
11007,1,1,7,2,35,0,2,0,8,2,7,4,4,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,4,1,1,1,3,0,0,guilt,4,3,110077,"I experience a sense of guilt as my middle son cannot express 
himself like other children, neither verbally nor in writing.",1,
11008,1,1,8,2,34,1,2,7,7,2,1,4,3,4,2,1,1,4,1,1,1,0,1,1,3,1,1,0,4,5,1,3,3,3,2,joy,3,4,110081,When my child was born.,1,
11008,1,1,8,2,34,1,2,7,7,2,2,4,1,4,3,0,0,1,0,0,0,0,0,1,1,3,3,1,0,1,2,2,2,2,0,fear,1,4,110082,"The branch went through the ice and I fell in, the water closed 
in over my head.",1,
11008,1,1,8,2,34,1,2,7,7,2,3,2,3,2,3,0,2,2,0,0,0,1,1,1,1,2,2,2,2,2,2,1,1,3,0,anger,3,2,110083,"Unjust accusations directed at me and my way of acting, by 
someone close to me.  ",1,
11008,1,1,8,2,34,1,2,7,7,2,4,3,4,2,0,1,0,1,0,0,0,0,0,2,2,3,3,2,4,4,2,1,2,0,1,sadness,4,2,110084,Failing an examination.,1,
11008,1,1,8,2,34,1,2,7,7,2,5,3,1,2,2,1,2,0,-1,0,0,0,0,3,1,3,3,0,0,3,3,1,0,0,1,disgust,1,2,110085,"A drunkard fell, started bleeding and wet himself in sickness.",1,
11008,1,1,8,2,34,1,2,7,7,2,6,3,3,2,2,0,-1,2,0,0,0,0,1,2,2,3,3,2,1,5,2,1,1,3,0,shame,3,2,110086,"When, as an adult I have been caught lying or behaving badly.",1,
11008,1,1,8,2,34,1,2,7,7,2,7,4,3,2,0,0,2,1,0,0,0,0,0,2,2,3,2,0,0,0,0,1,3,0,0,guilt,3,2,110087,"When I am in an environment or with a person much worse off than 
me, I realize how privileged I am.",1,
11009,1,1,9,2,24,1,1,7,7,2,1,1,3,3,0,0,1,1,0,1,0,0,0,1,3,1,2,1,2,4,1,2,3,1,0,joy,3,3,110091,When I saw a person I had not seen for a long time.,1,
11009,1,1,9,2,24,1,1,7,7,2,2,4,3,3,2,0,0,0,0,0,0,0,0,3,1,3,0,3,1,3,1,0,2,0,0,fear,3,3,110092,"When, as a child, I was nearly knocked down by a car.",1,
11009,1,1,9,2,24,1,1,7,7,2,3,3,3,4,0,1,0,0,0,0,0,0,0,1,2,3,2,1,3,1,3,2,0,3,1,anger,3,4,110093,"When I heard on the radio that the football match in Belgium had 
ended in a catastrophe, and several people had died.  I could not 
 understand how normal people could behave in such a way.",1,
11009,1,1,9,2,24,1,1,7,7,2,4,2,3,3,0,0,0,1,0,0,1,0,0,1,2,3,2,1,1,1,1,1,0,0,1,sadness,3,3,110094,"When I feel lonely, perhaps because I have to study a lot and I 
am shut up in my appartment.  Nothing happens in particular 
because there is no time for anything else.",1,
11009,1,1,9,2,24,1,1,7,7,2,5,1,1,2,0,0,0,1,0,0,0,0,0,1,0,3,2,1,3,1,3,0,0,1,0,disgust,1,2,110095,"When one learns through the mass media all the wars and killing 
going on in the world.",1,
11009,1,1,9,2,24,1,1,7,7,2,6,4,4,4,0,0,2,0,0,0,0,0,0,3,2,3,3,3,2,2,3,1,1,1,0,shame,4,4,110096,"I lied, to be precise I cancelled a meeting with a good friend.",1,
11009,1,1,9,2,24,1,1,7,7,2,7,2,3,3,0,0,2,0,0,0,0,0,0,3,1,3,2,1,1,2,2,1,2,0,0,guilt,3,3,110097,When one lets friends down,1,
11010,1,1,10,1,24,0,2,6,6,2,1,2,4,3,1,0,0,1,0,1,0,0,0,1,2,1,1,1,1,4,1,3,2,3,0,joy,4,3,110101,When I was accepted for a course on finance and accounting.,1,
11010,1,1,10,1,24,0,2,6,6,2,2,4,3,3,2,0,2,1,0,0,0,0,0,2,2,3,0,0,4,5,1,2,2,1,0,fear,3,3,110102,"A bus drove over my right leg.  The event itself was not very 
frightening but when I had to wait in the emergency ward for 
three hours and then my leg began to swell, I was frightened.",1,
11010,1,1,10,1,24,0,2,6,6,2,3,3,4,3,2,0,0,1,1,0,0,0,0,2,2,3,3,1,3,5,1,1,1,1,0,anger,4,3,110103,"At my Summer job, nobody looked after me in particular and I had 
to learn all on my own.",1,
11010,1,1,10,1,24,0,2,6,6,2,4,3,4,3,0,1,0,0,0,0,0,0,0,2,2,3,3,2,1,5,0,1,1,2,1,sadness,4,3,110104,When I was not accepted as a student in finance and accounting.,1,
11010,1,1,10,1,24,0,2,6,6,2,5,3,1,3,1,0,0,0,0,0,0,0,0,1,2,3,1,0,3,5,0,2,2,1,0,disgust,1,3,110105,"When I had just moved into my new appartment I found a ventilator 
in the kitchen.  I was going to clean it when I found that the 
drum was full of mud and slime.  I felt disgusted.",1,
11010,1,1,10,1,24,0,2,6,6,2,6,2,2,2,0,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,2,1,1,0,0,shame,2,2,110106,"My elder brother and I have not always had a good relationship 
and I feel ashamed of myself as I do not call him to talk to him 
nowadays.",1,
11010,1,1,10,1,24,0,2,6,6,2,7,3,4,1,0,0,0,0,1,0,0,0,0,1,1,3,2,2,1,2,2,2,1,0,0,guilt,4,1,110107,"At my Summer job a new caretaker had been employed who was my age 
 but I preferred going out for lunch with the accounts personnel 
rather than with him.",1,
11011,1,1,11,1,25,1,2,7,6,2,1,3,3,2,0,0,0,0,-1,0,0,0,0,2,2,1,1,2,1,3,1,3,2,0,0,joy,3,2,110111,Passed an exam by 2 points.,1,
11011,1,1,11,1,25,1,2,7,6,2,2,4,1,2,3,1,0,0,0,0,0,0,0,3,2,2,0,3,4,3,1,2,2,0,1,fear,1,2,110112,"In a cottage in a large forest, I was alone for a while in the 
dark.",1,
11011,1,1,11,1,25,1,2,7,6,2,3,3,3,2,3,0,0,1,0,0,0,0,1,1,2,0,0,1,3,4,2,3,0,2,0,anger,3,2,110113,When I spoke to Jan-Erik Wikstr÷m on the telephone. ,1,
11011,1,1,11,1,25,1,2,7,6,2,4,2,4,2,0,2,0,0,0,0,0,0,0,3,2,1,0,1,2,4,2,0,0,0,2,sadness,4,2,110114,Railway station good-bye.,1,
11011,1,1,11,1,25,1,2,7,6,2,5,4,1,3,1,1,0,0,0,0,0,0,0,2,1,3,0,0,4,3,0,2,2,2,1,disgust,1,3,110115,"I saw a cripple in rags with small children in Italy.  He was 
probably an imposter.",1,
11011,1,1,11,1,25,1,2,7,6,2,6,4,4,3,0,0,2,1,0,0,0,0,0,1,1,3,0,1,1,5,2,1,2,2,0,shame,4,3,110116,"I told a friend that I was going to a party and he would not 
enjoy himself if he came along.  He understood  that he would not 
have fitted in and there was something in that.",1,
11011,1,1,11,1,25,1,2,7,6,2,7,2,4,4,1,2,0,1,0,0,0,0,1,3,2,1,3,0,0,0,3,1,0,1,2,guilt,4,4,110117,"I was the reason behind the break-up of my friend's relationship 
with his girlfriend.  She finished with him.",1,
11012,1,1,12,1,23,1,2,7,6,2,1,1,3,3,0,0,1,1,0,1,0,0,0,1,1,1,1,0,4,4,3,0,0,0,0,joy,3,3,110121,I passed an exam that I was absolutely certain that I had failed.,1,
11012,1,1,12,1,23,1,2,7,6,2,2,3,2,4,1,0,-1,1,0,0,0,0,0,1,2,3,0,1,4,5,1,3,3,1,0,fear,2,4,110122,"On the way back from Denmark with a friend on a small yatch, 
there was a storm and my friend was blown overboard;  I was very 
scared till I managed to get him back onboard.",1,
11012,1,1,12,1,23,1,2,7,6,2,3,1,2,3,2,0,0,1,0,0,0,0,0,1,1,2,0,0,1,4,1,2,2,2,0,anger,2,3,110123,I locked myself out.,1,
11012,1,1,12,1,23,1,2,7,6,2,4,1,3,3,0,0,0,1,0,0,0,0,0,1,1,2,3,1,1,1,1,2,0,0,0,sadness,3,3,110124,I missed the last tram home and had to walk in the pouring rain.,1,
11012,1,1,12,1,23,1,2,7,6,2,5,3,4,4,1,0,-1,1,0,0,0,1,0,1,1,3,0,0,2,1,3,2,1,3,0,disgust,4,4,110125,I found some worms in the food and I had obviously eaten some.,1,
11012,1,1,12,1,23,1,2,7,6,2,6,4,4,3,0,0,0,0,-1,0,0,0,0,3,1,3,0,1,2,3,3,2,2,0,0,shame,4,3,110126,"My friend was so intoxicated that the police came and took him 
away, and they later contacted his parents.",1,
11012,1,1,12,1,23,1,2,7,6,2,7,1,1,2,0,0,-1,0,0,0,0,0,0,1,3,0,0,0,2,4,2,2,2,0,0,guilt,1,2,110127,I hapened to overhear something which I was not meant to hear.,1,
11013,1,1,13,2,22,1,2,7,4,2,1,4,3,4,1,0,0,1,0,1,0,0,0,1,1,1,0,0,4,4,0,0,0,3,0,joy,3,4,110131,When I won a trip to Greece in a competition.,1,
11013,1,1,13,2,22,1,2,7,4,2,2,3,1,3,1,1,0,0,-1,0,0,0,0,1,2,3,0,0,3,2,0,0,1,0,1,fear,1,3,110132,"When I am out in the dark and a suspicious looking character 
comes towards me.",1,
11013,1,1,13,2,22,1,2,7,4,2,3,1,1,3,1,0,0,3,0,0,0,0,0,1,1,3,0,3,3,4,3,2,1,1,0,anger,1,3,110133,"At work, when an elderly man complained unjustifiably about me and 
distrusted me.",1,
11013,1,1,13,2,22,1,2,7,4,2,4,1,2,3,0,0,0,1,0,0,1,0,1,1,2,3,2,2,0,5,1,2,2,3,1,sadness,2,3,110134,When I had not understood anything after a lecture.,1,
11013,1,1,13,2,22,1,2,7,4,2,5,2,1,2,0,1,0,1,-1,0,0,0,2,0,0,0,3,3,2,4,0,0,0,0,1,disgust,1,2,110135,When an alcoholic stood dribbling over a food counter.,1,
11013,1,1,13,2,22,1,2,7,4,2,6,2,1,1,0,0,2,1,0,1,0,0,0,1,3,0,1,0,1,5,1,2,2,0,0,shame,1,1,110136,"When my friend and I were discussing the good looks of a guy we 
realized that he had been listening.",1,
11013,1,1,13,2,22,1,2,7,4,2,7,1,3,2,0,0,0,0,0,0,0,0,0,3,2,3,0,1,1,2,2,2,0,0,0,guilt,3,2,110137,"When I complained about a colleague to the manager and he told 
her that someone had complained; this colleague came to me 
believing that I liked her.",1,
11014,1,1,14,1,23,0,0,7,4,2,1,2,3,3,0,0,1,1,1,1,0,0,0,1,3,1,1,1,2,4,1,3,3,0,0,joy,3,3,110141,"At a friend's birthday party with some of my closest friends.  It 
was all very pleasant and one could say that I was happy to have 
such good friends.",1,
11014,1,1,14,1,23,0,0,7,4,2,2,1,1,2,1,0,0,0,0,0,0,0,0,0,2,3,0,3,1,5,0,2,0,0,0,fear,1,2,110142,"On the way home one Friday night in the heavy rain the car 
acquaplanned.  I lost contact with the road surface for a few 
seconds.",1,
11014,1,1,14,1,23,0,0,7,4,2,3,1,1,2,1,0,0,1,0,0,0,0,1,2,2,3,3,2,2,2,2,2,1,0,0,anger,1,2,110143,Mad at my dad.,1,
11014,1,1,14,1,23,0,0,7,4,2,4,3,3,3,0,0,0,1,0,0,1,0,0,3,2,3,3,3,0,1,1,1,1,0,1,sadness,3,3,110144,A case of unrequited love.,1,
11014,1,1,14,1,23,0,0,7,4,2,5,2,1,3,0,1,0,0,-1,0,0,0,0,3,1,3,2,3,3,2,1,2,1,0,1,disgust,1,3,110145,A bad smelling cucumber.,1,
11014,1,1,14,1,23,0,0,7,4,2,6,2,1,3,0,0,2,1,0,0,0,0,0,1,3,3,3,1,2,4,2,2,3,3,0,shame,1,3,110146,Nearly caught masturbating.,1,
11014,1,1,14,1,23,0,0,7,4,2,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,3,0,1,1,0,guilt,1,1,110147,I do not help out enough at home.,1,
11015,1,1,15,1,26,0,2,7,6,2,1,3,3,3,1,0,0,2,0,1,0,0,1,2,1,1,1,1,1,4,2,2,0,0,0,joy,3,3,110151,I felt very happy when I won the football pools.,1,
11015,1,1,15,1,26,0,2,7,6,2,2,2,2,3,1,1,0,0,-1,0,0,0,0,2,1,3,2,3,4,4,1,2,2,2,1,fear,2,3,110152,"When I flew from Athens to Copenhagen after a holiday.  The plane 
was caught in a storm and it began to shake and I thouhght that 
we were going to crash.",1,
11015,1,1,15,1,26,0,2,7,6,2,3,3,3,3,0,0,2,0,0,0,0,0,0,0,0,1,1,1,2,2,0,3,2,1,0,anger,3,3,110153,When someone stole my bike.,1,
11015,1,1,15,1,26,0,2,7,6,2,4,1,1,0,1,0,0,1,0,0,1,0,0,1,1,2,2,0,0,4,2,2,0,0,1,sadness,1,0,110154,"When I saw the list of books to read for an acccouting course, I 
thought "" Oh God how will I ever manaage it!""",1,
11015,1,1,15,1,26,0,2,7,6,2,5,1,1,2,0,2,0,1,0,1,0,0,0,1,1,2,2,1,3,4,1,2,2,1,2,disgust,1,2,110155,"
An illustration showed a frog between two pieces of bread.",1,
11015,1,1,15,1,26,0,2,7,6,2,6,4,4,4,1,0,-1,0,-1,0,0,0,1,3,2,3,1,1,1,5,3,1,2,0,0,shame,4,4,110156,"When I dropped a bottle in the state liquor store and everybody 
started laughing.",1,
11015,1,1,15,1,26,0,2,7,6,2,7,2,2,3,1,0,2,0,0,0,0,0,1,3,1,3,3,2,1,3,1,2,1,0,0,guilt,2,3,110157,"When I was young, I stole from a store and was caught.",1,
11016,1,1,16,2,33,1,2,4,4,2,1,3,4,3,0,0,1,1,1,1,0,0,1,1,2,1,1,1,2,4,1,3,3,0,0,joy,4,3,110161,It works out well and we enjoy ourselves.,1,
11016,1,1,16,2,33,1,2,4,4,2,2,4,2,4,4,1,-1,1,-1,0,0,0,0,1,1,3,3,3,1,1,1,1,3,1,1,fear,2,4,110162,"When I could not find my 2 year old daughter.  I ran and looked 
for her everywhere and could not find her.",1,
11016,1,1,16,2,33,1,2,4,4,2,3,4,4,4,1,0,0,1,0,0,0,0,0,3,1,3,3,3,2,3,3,1,1,0,0,anger,4,4,110163,When friends try to put me down or hurt me.  ,1,
11016,1,1,16,2,33,1,2,4,4,2,4,4,4,4,2,2,0,2,-1,0,1,0,0,3,3,3,3,1,0,1,0,1,1,0,3,sadness,4,4,110164,Marriage crises.  Boredom.,1,
11016,1,1,16,2,33,1,2,4,4,2,5,4,2,4,1,1,-1,0,-1,0,0,0,0,1,2,3,3,2,2,3,2,1,1,0,1,disgust,2,4,110165,When someone makes advances that one does not want.,1,
11016,1,1,16,2,33,1,2,4,4,2,6,3,2,3,1,0,-1,0,0,0,0,0,0,3,1,3,3,3,1,5,3,1,3,1,0,shame,2,3,110166,The discovery that one has only thought of oneself.,1,
11016,1,1,16,2,33,1,2,4,4,2,7,4,4,4,2,1,-1,1,0,0,0,0,1,3,2,3,3,3,1,1,3,1,3,2,1,guilt,4,4,110167,When I spanked a child in anger and later regretted it terribly.,1,
11017,1,1,17,2,23,1,0,9,5,2,1,1,2,3,0,0,1,1,0,1,0,0,0,2,2,1,1,1,1,4,1,3,3,2,0,joy,2,3,110171,When I passed the first examination that I had to repeat.,1,
11017,1,1,17,2,23,1,0,9,5,2,2,4,3,3,1,0,0,0,0,0,0,0,0,3,2,3,3,1,1,1,2,1,1,0,0,fear,3,3,110172,"When I drove to Stockholm for the first time and drove off the 
Stora Hissingen road at the wrong exit.",1,
11017,1,1,17,2,23,1,0,9,5,2,3,2,4,3,1,0,0,1,0,0,1,0,0,2,2,3,3,3,2,1,1,1,1,0,1,anger,4,3,110173,When my boyfriend went away for a month long holiday without me.,1,
11017,1,1,17,2,23,1,0,9,5,2,4,2,4,4,0,1,0,0,0,0,0,0,0,2,2,3,3,1,1,3,1,1,1,0,1,sadness,4,4,110174,"Last year when I worked during the Summer holidays and studied 
at the same time for an examination I had to repeat; my boyfriend 
went to Greece for a holiday for a month.",1,
11017,1,1,17,2,23,1,0,9,5,2,5,2,1,2,0,1,0,0,0,0,0,0,0,1,1,3,2,1,3,1,0,2,1,3,1,disgust,1,2,110175,When a dog is left whining outside a shop.,1,
11017,1,1,17,2,23,1,0,9,5,2,6,1,3,2,1,0,0,1,0,0,0,0,0,1,3,3,2,2,1,2,3,1,1,3,0,shame,3,2,110176,"When I promised to help a friend over a weekend and did not keep 
the promise.",1,
11017,1,1,17,2,23,1,0,9,5,2,7,3,4,3,0,1,0,0,0,0,0,1,0,1,1,3,3,2,1,5,2,1,1,0,1,guilt,4,3,110177,When I realized that I had three more examinations to take.,1,
11019,1,1,19,1,30,1,2,5,1,2,1,4,4,4,1,0,1,1,0,1,0,0,1,1,2,1,1,1,1,3,1,3,0,2,0,joy,4,4,110191,"The day I was told that I had been accepted as a student of 
economics.",1,
11019,1,1,19,1,30,1,2,5,1,2,2,1,1,3,3,0,0,0,0,0,0,0,1,2,1,3,0,3,0,5,3,0,1,2,0,fear,1,3,110192,"While taking a short cut through the Vasa park, I was surrounded 
by three people who tried to steal my money.  I was scared and 
was saved only by the appearance of other people.",1,
